Id,Parent,Label
1,0,Animals
2,0,Food
3,0,Clothing
4,0,Continents
5,0,Sports
6,0,Pokemon
7,1,Mammals
8,1,Reptiles
9,1,Fish
10,1,Birds
11,1,Insects
12,1,Amphibians
13,2,Fruit
14,2,Vegetables
15,2,Meat
16,2,Dairy
17,2,Snacks
18,2,Condiments
19,3,Tops
20,3,Bottoms
21,3,Shoes
22,3,Hats
23,3,Outerwear
24,3,Eyewear
25,4,Asia
26,4,Africa
27,4,Europe
28,4,North America
29,4,South America
30,4,Australia
31,5,Ball
32,5,Board
33,5,Combat
34,5,Equine
35,5,Ice
36,5,Racquet
37,6,Fire
38,6,Water
39,6,Electric
40,6,Grass
41,6,Fairy
42,6,Psychic
43,7,Cat
44,7,Dog
45,7,Hamster
46,7,Fox
47,7,Elephant
48,7,Monkey
49,8,Lizard
50,8,Snake
51,8,Aligator
52,8,Crocodile
53,8,Gecko
54,8,Iguana
55,9,Goldfish
56,9,Shark
57,9,Catfish
58,9,Carp
59,9,Salmon
60,9,Herring
61,10,Parrot
62,10,Owl
63,10,Penguin
64,10,Hummingbird
65,10,Woodpecker
66,10,Crow
67,11,Ant
68,11,Bee
69,11,Butterfly
70,11,Termite
71,11,Mosquito
72,11,Mantis
73,12,Frog
74,12,Toads
75,12,Salamander
76,12,Newt
77,12,Caecilian
78,12,Blindworm
79,13,Orange
80,13,Pineapple
81,13,Strawberry
82,13,Apple
83,13,Pear
84,13,Banana
85,14,Potatoes
86,14,Onion
87,14,Celery
88,14,Garlic
89,14,Broccoli
90,14,Cauliflower
91,15,Beef
92,15,Pork
93,15,Ham
94,15,Bacon
95,15,Mutton
96,15,Veal
97,16,Butter
98,16,Milk
99,16,Cheese
100,16,Yoghurt
101,16,Ice Cream
102,16,Custard
103,17,Potato Chips
104,17,Crackers
105,17,Peanuts
106,17,Popcorn
107,17,Biscuits
108,17,Fries
109,18,Guacamole
110,18,Ketchup
111,18,Mayonaise
112,18,Tartar
113,18,Mustard
114,18,Salt
115,19,T-Shirt
116,19,Jerseys
117,19,Vest
118,19,Blouse
119,19,Camisole
120,19,Tube Top
121,20,Skirt
122,20,Leggings
123,20,Tights
124,20,Jeans
125,20,Pants
126,20,Shorts
127,21,Boots
128,21,Heels
129,21,Sneakers
130,21,Slippers
131,21,Sandals
132,21,Clogs
133,22,Cap
134,22,Sombrero
135,22,Beret
136,22,Tophat
137,22,Fedora
138,22,Beanie
139,23,Jacket
140,23,Coat
141,23,Tuxedo
142,23,Blazer
143,23,Parka
144,23,Windbreaker
145,24,Glasses
146,24,Shades
147,24,Contact Lenses
148,24,Goggles
149,24,Monocle
150,24,Blindfold
151,25,Japan
152,25,Singapore
153,25,Malaysia
154,25,Thailand
155,25,Phillippines
156,25,Korea
157,26,Zimbabwe
158,26,Nigeria
159,26,Kenya
160,26,Congo
161,26,Ethiopia
162,26,Uganda
163,27,Spain
164,27,France
165,27,Germany
166,27,England
167,27,Italy
168,27,Belgium
169,28,Canada
170,28,Haiti
171,28,Panama
172,28,USA
173,28,Mexico
174,28,Cuba
175,29,Brazil
176,29,Peru
177,29,Argentina
178,29,Chile
179,29,Ecuador
180,29,Bolivia
181,30,Fiji
182,30,Guam
183,30,New Zealand
184,30,Solomon Islands
185,30,Papau New Guinea
186,30,Samoa
187,31,Soccer
188,31,Football
189,31,Baseball
190,31,Cricket
191,31,Basketball
192,31,Volleyball
193,32,Skateboarding
194,32,Snowboarding
195,32,Surfing
196,32,Wakeboarding
197,32,Paddleboarding
198,32,Skysurfing
199,33,Wrestling
200,33,Sumo
201,33,Judo
202,33,Aikido
203,33,Taekwondo
204,33,Boxing
205,34,Vaulting
206,34,Rodeo
207,34,Jousting
208,34,Horseball
209,34,Steeplechase
210,34,Horse Racing
211,35,Curling
212,35,Ice Hockey
213,35,Figure Skating
214,35,Broomball
215,35,Bandy
216,35,Ringette
217,36,Badminton
218,36,Tennis
219,36,Racquetball
220,36,Squash
221,36,Table Tennis
222,36,Speedminton
223,37,Charmander
224,37,Cyndaquil
225,37,Torchic
226,37,Chimchar
227,37,Tepig
228,37,Fennekin
229,38,Squirtle
230,38,Totodile
231,38,Mudkip
232,38,Piplup
233,38,Oshawott
234,38,Froakie
235,39,Pikachu
236,39,Jolteon
237,39,Shinx
238,39,Emolga
239,39,Rotom
240,39,Magnemite
241,40,Bulbasaur
242,40,Chikorita
243,40,Treecko
244,40,Turtwig
245,40,Snivy
246,40,Chespin
247,41,Clefairy
248,41,Togepi
249,41,Sylveon
250,41,Jigglypuff
251,41,Azurill
252,41,Mimikyu
253,42,Abra
254,42,Mew
255,42,Espeon
256,42,Ralts
257,42,Espurr
258,42,Cosmog
